front,back,category
"What is the Scientific Method?","A way to ask and answer questions about what you observe.",GED Study
"What are the main steps of the Scientific Method?","Ask a question.",GED Study
"What is a hypothesis?","An educated guess based on information.",GED Study
"What is data?","A collection of facts, numbers, measurements, or observations. It is raw information used to make conclusions.",GED Study
"What is the term for: A collection of facts, numbers, measurements, or observations. It is raw information used to make conclusions?","Data",GED Study
"What is qualitative data?","Information that describes the quality or characteristics of something (like color or texture). This data can be sorted into categories.",GED Study
"What is quantitative data?","Information about a quantity or number.",GED Study
"What is a variable in science?","Anything that can vary or change, such as temperature or height.",GED Study
"What is an independent variable?","The variable you start with or intentionally change in an experiment. It acts on its own.",GED Study
"What is a dependent variable?","The variable you want to measure or learn about. Its change depends on the independent variable.",GED Study
"What is a control group?","The part of an experiment that is not changed (or does not receive the thing being tested). It is used for comparison to make sure the results are real.",GED Study
"What is a sample in research?","A small quantity of the thing you are measuring. It's used to collect data when you can't measure everything.",GED Study
"What is a random sample?","A sample where every object being studied has an equal chance of being chosen.",GED Study
"What are diagrams that show number data called?","Graphs or charts. They make it easy to see patterns in data.",GED Study
"What type of graph is best for showing continuous data and the relationship between variables?","A line graph. Scientists often use them to show how results change over time.",GED Study
"What type of graph is best for showing information in categories (like hair color or types of fruit)?","A chart. They are used for data that can be counted in separate chunks, not continuous data.",GED Study
"How do you calculate the Mean (average)?","Add all the numbers together, and then divide by the total count of numbers.",GED Study
"How do you find the Median?","First, put the numbers in order. The median is the middle value. (If there are two middle numbers, find the average of those two).",GED Study
"What is the Mode?","The number that appears the most often in a set.",GED Study
"How do you find the Range of a set of numbers?","Subtract the smallest number from the largest number.",GED Study
"What is Biology?","The study of living organisms (like plants and animals) and how they interact with each other and their environments.",GED Study
"What is a cell?","The basic building block of all living things. It's a tiny room-like structure that makes up all life.",GED Study
"What are the two main types of cells?","Prokaryotic cells and Eukaryotic cells.",GED Study
"What is a prokaryotic cell?","A simple cell that has no nucleus inside. Bacteria are the most common example.",GED Study
"What is a eukaryotic cell?","A complex cell that has a nucleus. These cells make up all plants and animals.",GED Study
"What is an organelle?","Any part inside a cell (like the nucleus or mitochondrion) that has a specific function or job.",GED Study
"What is the function of the nucleus?","It is the cell's headquarters (control center) that controls what the cell does.",GED Study
"What do the mitochondria do?","They process food and oxygen to make energy for the cell. (They are the ""powerhouse."")",GED Study
"What is the function of the cell membrane?","It is like the cell's skin; it controls what goes in or out of the cell.",GED Study
"Which plant cell organelle converts light energy into food?","Chloroplasts. This process is called photosynthesis.",GED Study
